"","GEOID","ANXIETY_2020","ANXIETY_2019","ANXIETY_2018","ANXIETY_2017","ANXIETY_2016","anxiety_change"
"1","01",16620,14903,14134,13682,13406,2486
"2","02",1521,1574,NA,NA,NA,NA
"3","04",75608,NA,58436,49419,47724,17172
"4","05",9586,9171,8839,10588,9601,747
"5","06",102964,114960,109661,89222,81057,-6697
"6","08",26738,26919,29738,28851,18118,-3000
"7","09",10148,11008,17611,16612,13154,-7463
"8","10",1356,1172,829,670,498,527
"9","11",1525,1648,1830,1602,834,-305
"10","12",21148,14334,15808,14640,12988,5340
"11","13",31929,NA,NA,NA,NA,NA
"12","15",501,561,649,690,606,-148
"13","16",1237,1399,1447,1434,1322,-210
"14","17",8079,8753,13247,13966,2824,-5168
"15","18",50737,46769,43577,42251,40948,7160
"16","19",22784,88718,51640,10640,26162,-28856
"17","20",33232,NA,NA,NA,NA,NA
"18","21",37282,38891,38815,37719,37079,-1533
"19","22",3904,2924,3973,4270,2726,-69
"20","23",NA,NA,NA,4573,NA,NA
"21","24",NA,45782,41593,36749,31961,NA
"22","25",1413,1924,2078,2110,1370,-665
"23","26",45722,50718,47125,33824,NA,-1403
"24","27",147707,134815,126735,103951,86835,20972
"25","28",17736,14299,12974,8909,17296,4762
"26","29",10943,12552,11386,11100,9745,-443
"27","30",29733,27331,24100,13169,7390,5633
"28","31",4709,4586,4653,4271,3760,56
"29","32",2244,2200,1981,2062,2021,263
"30","33",NA,NA,NA,NA,NA,NA
"31","34",35098,35492,34776,32462,1754,322
"32","35",41569,43906,28366,32518,24034,13203
"33","36",7606,7527,7442,7291,9568,164
"34","37",22486,22646,21286,25413,20609,1200
"35","38",3880,3548,2188,2566,3220,1692
"36","39",110594,135471,99452,89315,55566,11142
"37","40",16707,15674,16688,14883,13483,19
"38","41",57606,55019,39605,38670,25018,18001
"39","42",99060,94752,85583,75276,54016,13477
"40","44",10635,10551,8443,6811,6198,2192
"41","45",22886,21158,17956,16217,15265,4930
"42","46",1696,1634,1610,1405,1260,86
"43","47",16477,17644,16793,14835,15536,-316
"44","48",80964,71032,59721,50607,45125,21243
"45","49",21525,19899,19378,18502,16998,2147
"46","50",4892,4721,4385,4021,3703,507
"47","51",35935,33726,31451,28844,27240,4484
"48","53",78654,49313,27446,20739,16081,51208
"49","54",NA,NA,17562,NA,NA,NA
"50","55",14667,13130,12464,11154,9790,2203
"51","56",4632,4764,4149,4106,4055,483
"52","72",291,352,326,156,5,-35
"53","99",31,20,10,9,12,21
